ClassID,Name,MaxLevel,Cost,InitHP,MaxHP,AttackType,InitAtk,MaxAtk,MaxTarget,InitDef,MaxDef,AtkSpeedCorrection,AtkArea,JobChange,JobChangeMaterial1,JobChangeMaterial2,JobChangeMaterial3,Data_ExtraAwakeOrb1,Data_ExtraAwakeOrb2,Dot,MissileID,ApproachFlag,BlockNum,DotNo,AttackWait,AttackAnimNo,BuildExp,HpGaugeHeight,AttackAttribute,HitEffect,Explanation,ClassAbility1,ClassAbilityPower1,AwakeType1,AwakeType2,_LowRareEvolveMaterial_01,_LowRareEvolveMaterial_02,_LowRareEvolveMaterial_03,SortGroupID,DisplayPermission,PlaceAttribute,BattleStyle,ChainCount
1070,忍神,99,8,1100,1350,true,230,270,1,145,205,100,40,0,0,0,0,0,0,112,392,true,0,3,4,1,50,0,0,6291712,敵を足止めせず、射程1.2倍で\n弾かれない遠距離攻撃が可能\n攻撃後の待ち時間をやや短縮\nスキル未使用時、遠距離攻撃対象外,1032,0,0,0,0,0,0,20,,1,1,1
1080,ジライヤ,99,8,2000,2400,true,290,350,1,200,290,100,40,0,0,0,0,0,0,112,49,true,1,4,10,1,50,0,0,6291712,飛び道具での攻撃が可能\nスキル未使用時、遠距離攻撃対象外\n大ガマを使役、大ガマは防御無視の\n遠距離範囲攻撃、ＨＰが徐々に減少,1032,0,0,0,0,0,0,20,,1,1,1
1100,ペガサスライダー,50,12,600,800,true,210,310,1,130,200,100,40,1110,100,200,300,0,0,19,0,true,1,0,30,2,7,0,3,6291712,スキル使用で飛行可能\n敵を倒すと出撃コスト回復\n撤退時にコストが７０％回復,129,70,0,0,0,0,0,20,,1,1,1
1110,ペガサスナイト,80,15,800,1100,true,310,420,1,200,280,100,40,1120,300,200,10100,0,0,19,0,true,1,1,30,2,20,0,3,6291712,スキル使用で飛行可能\n敵を倒すと出撃コスト回復\n撤退時にコストが８０％回復,130,80,0,0,0,0,0,20,,1,1,1
1120,ペガサスロード,99,15,995,1500,true,390,530,1,250,320,100,40,0,300,200,10100,1110,0,19,0,true,1,2,30,2,50,0,3,6291712,スキル使用で飛行可能\n敵を倒すと出撃コスト回復\n撤退時にコスト全回復,131,0,1170,1180,0,0,0,20,,1,1,1
1170,スカイキャバリア,99,15,1600,2200,true,450,600,1,350,420,100,40,0,0,0,0,0,0,19,0,true,1,3,30,2,50,0,3,6291712,スキル使用で飛行可能 敵撃破時\nコスト回復 撤退時コスト全回復\n飛行ユニットに対し攻撃力2.0倍\nスキルの攻撃範囲1.2倍,379,0,0,0,0,0,0,20,,1,1,1
1180,ペガサスマスター,99,16,1150,1650,true,430,580,1,250,320,100,40,0,0,0,0,0,0,19,0,true,1,4,30,2,50,0,3,6291712,スキル使用で飛行可能 敵撃破時\nコスト回復 撤退時コスト全回復\nスキルの効果時間が70％増加\nスキル中のコスト回復量2倍,380,0,0,0,0,0,0,20,,1,1,1
1200,ダークファイター,50,18,950,1250,true,190,260,1,190,230,100,40,1210,100,200,600,0,0,6,-1,true,2,0,30,1,7,0,0,6291712,２体までの敵を足止めできる\nHPが減少すると防御力アップ\n最大1.5倍まで上昇する,340,150,0,0,0,0,0,20,,1,1,1
1210,ダークナイト,80,22,1250,1750,true,260,420,1,230,290,100,40,1220,100,200,10200,0,0,6,-1,true,2,1,30,1,20,0,0,6291712,２体までの敵を足止めできる\nHPが減少すると防御力アップ\n最大1.7倍まで上昇する,473,170,0,0,0,0,0,20,,1,1,1
1220,パラディン,99,23,1500,2350,true,375,485,1,280,470,100,40,0,100,200,10200,1210,0,6,-1,true,2,2,30,1,50,0,0,6291712,２体までの敵を足止めできる\nHPが減少すると防御力アップ\n最大1.9倍まで上昇する,133,190,1270,1280,0,0,0,20,,1,1,1
1270,マスターパラディン,99,23,2000,3000,true,375,485,1,300,500,100,40,0,0,0,0,0,0,6,-1,true,2,3,30,1,50,0,0,6291712,２体までの敵を足止めできる\nHPが減少すると防御力大幅アップ\n最大2.9倍まで上昇する,512,290,0,0,0,0,0,20,,1,1,1
1280,カオスナイト,99,23,1600,2450,true,450,580,1,280,470,100,40,0,0,0,0,0,0,6,-1,true,1,4,30,1,50,0,0,6291712,１体までの敵を足止めできる\nHPが減少すると攻撃力と防御力\nがアップ 最大1.9倍まで上昇,513,190,0,0,0,0,0,20,,1,1,1
1300,アベンジャー,80,15,1800,2800,true,310,440,1,170,250,100,40,1330,200,300,600,610,1410,20,0,true,1,0,30,2,20,0,0,6291712,HP９０％以下で与ダメージアップ\n自身が死亡した場合撤退扱いとなり\n周囲の敵に大ダメージを与える,189,0,0,0,0,0,0,20,,1,1,1
1330,デスアベンジャー,99,15,2700,3600,true,410,550,1,215,290,100,40,0,0,0,0,0,0,20,0,true,1,2,30,2,50,0,0,6291712,HP９０％以下で与ダメージアップ\n自身が死亡した場合撤退扱いとなり\n周囲の敵に大ダメージを与える,189,0,0,0,0,0,0,20,,1,1,1
1400,モンク,50,5,790,1240,true,210,310,1,90,150,100,40,1410,100,10000,0,0,0,204,0,true,2,0,25,2,7,0,0,6291718,50％の確率で敵からの\n物理攻撃を回避する,310,0,0,0,0,0,0,20,,1,1,1
1410,マスターモンク,80,8,1240,1700,true,310,410,1,150,200,100,40,1420,1400,600,100,0,0,204,0,true,2,1,25,2,20,0,0,6291718,50％の確率で物理攻撃を回避,311,0,0,0,0,0,0,20,,1,1,1
1420,拳聖,99,8,1500,2030,true,370,540,1,180,230,100,40,0,1400,600,100,1410,0,204,0,true,2,2,25,2,50,0,0,6291718,50％の確率で物理攻撃を回避,312,0,1470,1480,0,0,0,20,,1,1,1
1470,拳王,99,8,1900,2500,true,400,600,1,180,230,100,40,0,0,0,0,0,0,204,0,true,2,3,25,2,50,0,0,6291718,50％の確率で物理攻撃を回避\n通常時は30％、スキル中は\n100％の確率で攻撃力が\n1.3倍の攻撃を出す,468,0,0,0,0,0,0,20,,1,1,1
1480,修羅,99,8,1800,2400,true,460,680,1,270,320,100,40,0,0,0,0,0,0,204,0,true,2,4,25,2,50,0,0,6291718,50％の確率で物理攻撃を回避\nスキル再使用時間を45％短縮\n相手が人間の場合、攻撃力1.4倍,469,0,0,0,0,0,0,20,,1,1,1
1500,前衛戦術家,50,8,750,1050,true,160,250,1,99,154,100,40,1510,10100,300,800,0,0,126,0,true,2,0,30,1,7,0,0,6291712,配置中、他ユニットの出撃\nコストを1下げる,115,1,0,0,0,0,0,20,,1,1,1
1510,前衛軍師,80,11,1050,1500,true,250,330,1,154,220,100,40,1520,800,300,100,0,0,89,0,true,2,1,30,1,20,0,0,6291712,配置中、他ユニットの出撃\nコストを2下げる,116,2,0,0,0,0,0,20,,1,1,1
1520,武人軍師,99,11,1300,1830,true,300,400,2,198,247,100,40,0,800,300,100,1510,0,89,0,true,2,2,30,1,50,0,0,6291712,配置中、他ユニットの出撃\nコストを3下げる\nブロックした敵全員を攻撃,163,3,1570,1580,0,0,0,20,,1,1,1
1570,猛将軍師,99,11,1500,2050,true,320,420,2,230,280,100,40,0,0,0,0,0,0,89,0,true,2,3,30,1,50,0,0,6291712,配置中、他ユニットの出撃\nコストを3下げる ブロックした\n敵全員を攻撃 20％の確率で\n攻撃力が1.9倍の攻撃を出す,299,3,0,0,0,0,0,20,,1,1,1
1580,大軍配者,99,8,1400,1950,true,300,400,2,220,270,100,40,0,0,0,0,0,0,89,0,true,2,4,30,1,50,0,0,6291712,配置中、他ユニットの出撃\nコストを3下げる\nブロックした敵全員を攻撃,163,3,0,0,0,0,0,20,,1,1,1
1600,魔法剣士,50,11,600,920,true,200,290,1,140,210,100,40,1610,100,10100,0,0,0,205,21,true,1,0,30,2,7,0,1,6291712,50％の攻撃力で遠距離攻撃\n飛び道具を無効化されない\n敵の防御力を無視できる,183,0,0,0,0,0,0,20,,1,1,1
1610,ルーンフェンサー,80,14,920,1260,true,290,415,1,210,270,100,40,1620,1600,1000,100,0,0,205,21,true,1,1,30,2,20,0,1,6291712,60％の攻撃力で遠距離攻撃\n飛び道具を無効化されない\n敵の防御力を無視できる,184,0,0,0,0,0,0,20,,1,1,1
1620,ルーンロード,99,14,1150,1600,true,380,520,1,250,350,100,40,0,1600,1000,100,1610,0,205,21,true,1,2,25,2,50,0,1,6291712,70％の攻撃力で遠距離攻撃\n飛び道具を無効化されない\n敵の防御力を無視できる,185,0,1670,1680,0,0,0,20,,1,1,1
1670,ルーンデルヴァー,99,14,1250,1700,true,420,560,1,250,350,100,40,0,0,0,0,0,0,205,21,true,1,3,25,2,50,0,1,6291712,70％の攻撃力で遠距離攻撃\n飛び道具を無効化されない\n敵の防御力を無視できる\n射程が1.2倍となる,185,0,0,0,0,0,0,20,,1,1,1
1680,ルーンスレイヤー,99,14,1300,1850,true,490,670,1,320,420,100,40,0,0,0,0,0,0,205,21,true,1,4,25,2,50,0,1,6291712,80％の攻撃力で遠距離攻撃\n飛び道具を無効化されない\n敵の防御力を無視できる\n魔法耐性が大幅に上昇,538,0,0,0,0,0,0,20,,1,1,1
1700,エンジェル,50,8,1100,1300,true,420,480,0,140,235,100,40,1710,100,200,0,0,0,206,0,true,0,0,30,2,7,0,0,6291712,スキルを使用すると一定時間\n封印を解除できる,0,0,0,0,0,0,0,20,,1,1,1
1710,アークエンジェル,80,11,1300,1700,true,480,630,0,235,405,100,40,1720,1700,300,10200,0,0,206,0,true,0,1,30,2,20,0,0,6291712,スキルを使用すると一定時間\n封印を解除できる,0,0,0,0,0,0,0,20,,1,1,1
