アーチャー,アルテミス,セレーネ,ラピッドシューター
ちび陰陽師,,,
ちび魔法剣士,,,
ちび魔物使い,,,
デモンサモナー,デモンマスター,デモンルーラー,デモンブリンガー
デモンシャーマン,デモンシャーマンロード,,
ドラゴンシャーマン,ドラゴンシャーマンロード,エルダードラゴンシャーマン,極神竜巫女
ドラゴンプリンセス,真竜戦士,竜神戦士,ドラゴンルーラー
ドラゴンライダー,ドラゴンロード,,
ドルイド,マスタードルイド,クイーンオブドルイド,フォレストクイーン
ぬらりひょん,総大将ぬらりひょん,妖怪剣客ぬらりひょん,妖怪総元締ぬらりひょん
ネクロマンサー,ヘルネクロマンサー,,
ねんどろいどプリンセス,,,
パイレーツ,キングオブパイレーツ,ネプチューン,エル・ドラゴ
バンデット,デストロイヤー,,
ヒーラー,セイント,ハイエロファント,オラクル
ビショップ,エルダービショップ,パトリアーク,フィロソファー
フェンリルシャーマン,フェンリルシャーマンロード,,
プリンセス,ハイプリンセス,,
ペガサスライダー,ペガサスロード,スカイキャバリア,ペガサスマスター
ヘビーアーマー,ギガントアーマー,アーマーガーディアン,ギガントハンマー
ボウライダー,ボウライダーエリート,,
マーチャント,エルダーマーチャント,キャラバンマスター,タイクーン
メイジ,アークメイジ,,
メイジアーマー,超魔導鎧将,極魔導鎧帝,ミスティックシールド
メイド,メイド長,バトルメイド,アーマーメイド
モンク,拳聖,拳王,修羅
モンスタースレイヤー,モンスターバスター,ヘビートリガー,ペネトレーター
モンスターブレイカー,モンスターパニッシャー,,
ライフリンカー,リンクマスター,,
ランスマスター,槍聖,,
ルーンアコライト,ホーリーアコライト,,
レンジャー,マスターレンジャー,,
ロイヤルガード,ロイヤルオーダー,ロードオブロイヤルズ,セイクリッドガード
ローグ,マスターアサシン,ナイトアサシン,エンフォーサー
ロード,モナーク,,
ワルキューレ,ブリュンヒルデ,レギンレイヴ,ゲイレルル
下級アーチャー,,,
下級サムライ,,,
下級ソルジャー,,,
下級パイレーツ,,,
下級バンデット,,,
下級ヘビーアーマー,,,
下級メイジ,,,
下級忍者,,,
下級竜兵,,,
中級竜兵,超級竜兵,エンシェントドラゴン,ファフニール
公子,,,
天狗,大天狗,空神,天魔天狗
幻獣使い,大幻獣使い,,
支援工兵,エリートパイオニア,,
水底の支配者【GBM】,創造主【GBM】,,
王女【七つの大罪】,女神の使徒,,
王子【ケラウノス】,,,
王子【ダーク】,,,
王子【巨像】,,,
王子【幼少】,,,
王子【砂漠】,,,
王子【英雄王】,,,
王子【英魂】,,,
王子【風護】,,,
王子【神器装備】,,,
王子【通常】,,,
王子【獣装】,,,
王太子,,,
仙人,大仙人,神仙,鬼仙
仙猿,大仙猿,斉天大聖,
占星術師,占星術師,,
巨人【七つの大罪】,〈嫉妬の罪〉,,
回復術士【異郷】,,,
奸雄【恋姫】,覇王【恋姫】,,
君主【恋姫】,大君主【恋姫】,,
妖狐,天狐,,
妖精【七つの大罪】,〈怠惰の罪〉,,
妖精【異郷】,,,
忍者,超忍,忍神,ジライヤ
邪仙,大邪仙,,
呪術使い,大呪術師長,大呪術師祖,妖厄神
怪盗【GBM】,エンターテイナー【GBM】,,
武将【恋姫】,大将軍【恋姫】,,
前衛戦術家,武人軍師,猛将軍師,大軍配者
勇士【恋姫】,軍神【恋姫】,,
後衛戦術家,参謀軍師,大参謀,バトルストラテジスト
政務官,,,
皇帝,,,
軍師【恋姫】,大軍師【恋姫】,,
重装砲兵,ギガキャノンアーマー,バスターアーマー,フォートレス
風水使い,風水導士,風水仙人,八門風水導士
風伯,風神,,
真人,飛天真人,,
砲術士,キャノンマスター,ハイキャノンマスター,超重巨砲士
神官戦士,ディバインアーマー,,
竜戦士,,,
鬼,大鬼,明王,鬼刃衆頭領
鬼刃忍,鬼刃忍頭,,
盗賊【七つの大罪】,〈強欲の罪〉,,
盗賊【異郷】,,,
陰陽師,陰陽頭,悟得陰陽頭,召鬼陰陽頭
傀儡人形【封緘】,魔導操殻【封緘】,,
猫又,猫ショウ,,
戦の聖霊,戦の大聖霊,,
道化師,クラウンマスター,,
雷公,雷神,,
槌使い【異郷】,,,
戯曲作家【GBM】,詩聖【GBM】,,
錬金術師【GBM】,天才博士【GBM】,,
鍛冶職人,マスタースミス,神匠鍛冶師,バトルスミス
騎士【七つの大罪】,〈憤怒の罪〉,,
騎士【封緘】,将軍【封緘】,,
騎士【異郷】,,,
魔王親衛隊,アビスリベリオン,アビスセンチネル,アビスレイダー
魔法剣士,ルーンロード,ルーンデルヴァー,ルーンスレイヤー
魔物使い,魔獣使い,ビーストマスター,魔獣調教師
魔神,魔神王,,
魔竜騎士,魔竜騎士,,
